,match,location,stadium,home_team,away_team,match_short,dayofweek,date,time,link
0,1st Match,Bengaluru,M.Chinnaswamy Stadium,Royal Challengers Bengaluru,Sunrisers Hyderabad,01_RCBvsSH,Sat,Mar 28,7:30,https://www.cricbuzz.com/live-cricket-scores/149618/rcb-vs-srh-1st-match-indian-premier-league-2026
1,2nd Match,Mumbai,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,02_MIvsKKR,Sun,Mar 29,7:30,https://www.cricbuzz.com/live-cricket-scores/149629/mi-vs-kkr-2nd-match-indian-premier-league-2026
2,3rd Match,Guwahati,Barsapara Cricket Stadium,Rajasthan Royals,Chennai Super Kings,03_RRvsCSK,Mon,Mar 30,7:30,https://www.cricbuzz.com/live-cricket-scores/149640/rr-vs-csk-3rd-match-indian-premier-league-2026
3,4th Match,New Chandigarh,Maharaja Yadavindra Singh International Cricket Stadium,Punjab Kings,Gujarat Titans,04_PKvsGT,Tue,Mar 31,7:30,https://www.cricbuzz.com/live-cricket-scores/149651/pbks-vs-gt-4th-match-indian-premier-league-2026
4,5th Match,Lucknow,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants,Delhi Capitals,05_LSGvsDC,Wed,Apr 1,7:30,https://www.cricbuzz.com/live-cricket-scores/149662/lsg-vs-dc-5th-match-indian-premier-league-2026
5,6th Match,Kolkata,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,06_KKRvsSH,Thu,Apr 2,7:30,https://www.cricbuzz.com/live-cricket-scores/149673/kkr-vs-srh-6th-match-indian-premier-league-2026
6,7th Match,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Punjab Kings,07_CSKvsPK,Fri,Apr 3,7:30,https://www.cricbuzz.com/live-cricket-scores/149684/csk-vs-pbks-7th-match-indian-premier-league-2026
7,8th Match,Delhi,Arun Jaitley Stadium,Delhi Capitals,Mumbai Indians,08_DCvsMI,Sat,Apr 4,3:30,https://www.cricbuzz.com/live-cricket-scores/149695/dc-vs-mi-8th-match-indian-premier-league-2026
8,9th Match,Ahmedabad,Narendra Modi Stadium,Gujarat Titans,Rajasthan Royals,09_GTvsRR,Sat,Apr 4,7:30,https://www.cricbuzz.com/live-cricket-scores/149699/gt-vs-rr-9th-match-indian-premier-league-2026
9,10th Match,Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Lucknow Super Giants,10_SHvsLSG,Sun,Apr 5,3:30,https://www.cricbuzz.com/live-cricket-scores/149710/srh-vs-lsg-10th-match-indian-premier-league-2026
10,11th Match,Bengaluru,M.Chinnaswamy Stadium,Royal Challengers Bengaluru,Chennai Super Kings,11_RCBvsCSK,Sun,Apr 5,7:30,https://www.cricbuzz.com/live-cricket-scores/149721/rcb-vs-csk-11th-match-indian-premier-league-2026
11,12th Match,Kolkata,Eden Gardens,Kolkata Knight Riders,Punjab Kings,12_KKRvsPK,Mon,Apr 6,7:30,https://www.cricbuzz.com/live-cricket-scores/149732/kkr-vs-pbks-12th-match-indian-premier-league-2026
12,13th Match,Guwahati,Barsapara Cricket Stadium,Rajasthan Royals,Mumbai Indians,13_RRvsMI,Tue,Apr 7,7:30,https://www.cricbuzz.com/live-cricket-scores/149743/rr-vs-mi-13th-match-indian-premier-league-2026
13,14th Match,Delhi,Arun Jaitley Stadium,Delhi Capitals,Gujarat Titans,14_DCvsGT,Wed,Apr 8,7:30,https://www.cricbuzz.com/live-cricket-scores/149746/dc-vs-gt-14th-match-indian-premier-league-2026
14,15th Match,Kolkata,Eden Gardens,Kolkata Knight Riders,Lucknow Super Giants,15_KKRvsLSG,Thu,Apr 9,7:30,https://www.cricbuzz.com/live-cricket-scores/149757/kkr-vs-lsg-15th-match-indian-premier-league-2026
15,16th Match,Guwahati,Barsapara Cricket Stadium,Rajasthan Royals,Royal Challengers Bengaluru,16_RRvsRCB,Fri,Apr 10,7:30,https://www.cricbuzz.com/live-cricket-scores/149768/rr-vs-rcb-16th-match-indian-premier-league-2026
16,17th Match,New Chandigarh,Maharaja Yadavindra Singh International Cricket Stadium,Punjab Kings,Sunrisers Hyderabad,17_PKvsSH,Sat,Apr 11,3:30,https://www.cricbuzz.com/live-cricket-scores/149779/pbks-vs-srh-17th-match-indian-premier-league-2026
17,18th Match,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Delhi Capitals,18_CSKvsDC,Sat,Apr 11,7:30,https://www.cricbuzz.com/live-cricket-scores/149790/csk-vs-dc-18th-match-indian-premier-league-2026
18,19th Match,Lucknow,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants,Gujarat Titans,19_LSGvsGT,Sun,Apr 12,3:30,https://www.cricbuzz.com/live-cricket-scores/149801/lsg-vs-gt-19th-match-indian-premier-league-2026
19,20th Match,Mumbai,Wankhede Stadium,Mumbai Indians,Royal Challengers Bengaluru,20_MIvsRCB,Sun,Apr 12,7:30,https://www.cricbuzz.com/live-cricket-scores/149812/mi-vs-rcb-20th-match-indian-premier-league-2026
